frame_num,lidar_track_id,dt_track_id
0,0,10
0,1,20
0,3,31
0,4,26
0,11,63
0,19,2
1,0,10
1,1,20
1,3,31
1,4,26
1,11,63
1,19,2
2,0,10
2,1,20
2,3,31
2,4,26
2,11,63
2,19,2
3,0,10
3,19,2
3,11,63
3,4,26
3,3,31
3,1,20
4,1,20
4,3,31
4,4,26
4,11,63
4,0,10
4,19,2
5,1,20
5,3,31
5,4,26
5,11,63
5,0,10
5,19,2
6,1,20
6,3,31
6,4,26
6,11,63
6,19,2
6,0,10
7,1,20
7,3,31
7,4,26
7,11,63
7,0,10
7,19,2
8,1,20
8,3,31
8,4,26
8,11,63
8,0,10
8,19,2
9,19,2
9,0,10
9,1,20
9,3,31
9,4,26
9,11,63
10,0,10
10,19,2
10,1,20
10,3,31
10,4,26
10,11,63
11,0,10
11,19,2
11,1,20
11,3,31
11,4,26
11,11,63
12,19,2
12,0,10
12,1,20
12,3,31
12,4,26
12,11,63
13,0,10
13,19,2
13,1,20
13,3,31
13,4,26
13,11,63
14,0,10
14,19,2
14,1,20
14,3,31
14,4,26
14,11,63
15,0,10
15,19,2
15,1,20
15,3,31
15,4,26
15,11,63
16,19,2
16,0,10
16,1,20
16,3,31
16,4,26
16,11,63
17,19,2
17,0,10
17,1,20
17,3,31
17,4,26
17,11,63
18,19,2
18,0,10
18,3,31
18,4,26
18,11,63
19,19,2
19,0,10
19,3,31
19,4,26
19,11,63
20,0,10
20,3,31
20,4,26
20,19,2
20,11,63
21,0,10
21,3,31
21,4,26
21,19,2
21,11,63
22,0,10
22,3,31
22,4,26
22,19,2
22,11,63
23,0,10
23,3,31
23,11,63
23,4,26
23,19,2
24,0,10
24,3,31
24,19,2
24,4,26
24,11,63
25,0,10
25,19,2
25,3,31
25,4,26
25,11,63
26,32,12
26,0,10
26,19,2
26,3,31
26,4,26
26,11,63
27,32,12
27,0,10
27,30,34
27,3,31
27,19,2
27,4,26
27,11,63
28,32,12
28,0,10
28,30,34
28,3,31
28,4,26
28,11,63
28,19,2
29,32,12
29,0,10
29,30,34
29,3,31
29,4,26
29,11,63
29,19,2
30,32,12
30,0,10
30,19,2
30,30,34
30,3,31
30,4,26
30,11,63
31,32,12
31,0,10
31,30,34
31,3,31
31,4,26
31,11,63
31,19,2
32,32,12
32,11,63
32,19,2
32,4,26
32,3,31
32,30,34
32,0,10
33,32,12
33,0,10
33,3,31
33,4,26
33,11,63
33,30,34
33,19,2
34,19,2
34,30,34
34,32,12
34,3,31
34,4,26
34,11,63
34,0,10
35,30,34
35,11,63
35,19,2
35,4,26
35,3,31
35,0,10
35,32,12
36,32,12
36,0,10
36,3,31
36,19,2
36,4,26
36,11,63
36,30,34
37,0,10
37,30,34
37,3,31
37,4,26
37,11,63
37,19,2
38,19,2
38,11,63
38,4,26
38,3,31
38,30,34
38,0,10
39,19,2
39,0,10
39,3,31
39,4,26
39,11,63
39,30,34
39,41,52
40,19,2
40,0,10
40,3,31
40,4,26
40,11,63
40,30,34
40,41,52
41,11,63
41,4,26
41,3,31
41,30,34
41,41,52
41,19,2
41,0,10
42,0,10
42,41,52
42,30,34
42,3,31
42,4,26
42,11,63
42,19,2
43,0,10
43,19,2
43,3,31
43,11,63
43,30,34
43,41,52
43,4,26
44,0,10
44,41,52
44,4,26
44,30,34
44,3,31
44,11,63
44,19,2
45,0,10
45,41,52
45,30,34
45,3,31
45,4,26
45,11,63
45,19,2
45,44,20
